Team,Game_ID,Home,Average Starting Field Position,Big Plays,Median Pass Yards,Median Rush Yards,Number Of Runs,Sacks,Time Of Possession,Total Points
DAL,2009121312,True,18.25,6.0,6.0,4.5,26.0,1.0,1795.0,17.0
NYG,2009121313,True,31.384615384615387,12.0,4.0,3.0,31.0,3.0,2086.0,38.0
SF,2009121400,True,23.285714285714292,4.0,0.0,3.0,33.0,1.0,2204.0,24.0
JAC,2009121700,True,31.77777777777777,4.0,4.0,3.0,34.0,2.0,2126.0,31.0
NO,2009121900,True,26.799999999999997,4.0,4.0,3.5,12.0,4.0,1414.0,17.0
STL,2009122007,True,32.28571428571429,5.0,2.0,1.0,26.0,3.0,1760.0,13.0
KC,2009122003,True,23.700000000000003,8.0,5.0,5.0,30.0,1.0,1534.0,33.0
NYJ,2009122004,True,34.54545454545455,5.0,2.5,3.0,33.0,2.0,1824.0,7.0
BUF,2009122001,True,37.55555555555556,3.0,1.0,4.0,23.0,6.0,2014.0,10.0
TEN,2009122008,True,24.888888888888886,9.0,0.0,3.0,31.0,2.0,1753.0,27.0
DET,2009122002,True,33.53846153846153,4.0,0.0,3.0,27.0,2.0,1817.0,23.0
DEN,2009122009,True,24.33333333333333,7.0,0.0,1.0,28.0,3.0,1714.0,19.0
SD,2009122010,True,26.36363636363636,7.0,5.0,2.0,20.0,2.0,1694.0,27.0
PIT,2009122006,True,27.181818181818187,12.0,5.0,2.0,19.0,5.0,2122.0,37.0
BAL,2009122000,True,42.666666666666664,6.0,4.0,2.0,30.0,2.0,1913.0,31.0
PHI,2009122005,True,24.25,6.0,3.0,4.0,30.0,0.0,1844.0,27.0
SEA,2009122011,True,17.400000000000006,6.0,3.0,3.0,25.0,1.0,1676.0,7.0
CAR,2009122012,True,24.700000000000003,6.0,3.0,2.0,37.0,2.0,2279.0,26.0
WAS,2009122100,True,22.299999999999997,7.0,0.0,1.5,18.0,5.0,1545.0,12.0
TEN,2009122500,True,25.875,4.0,0.0,5.0,27.0,1.0,1253.0,17.0
ATL,2009122700,True,30.22222222222223,7.0,0.0,3.0,36.0,3.0,2065.0,30.0
PIT,2009122709,True,30.77777777777777,7.0,0.0,2.0,20.0,4.0,1647.0,23.0
NO,2009122707,True,27.57142857142857,5.0,6.0,3.0,23.0,1.0,1839.0,17.0
NE,2009122706,True,22.0,9.0,9.0,3.0,36.0,0.0,1945.0,35.0
NYG,2009122705,True,25.099999999999994,7.0,3.0,3.0,19.0,4.0,1664.0,9.0
MIA,2009122704,True,22.200000000000003,4.0,3.5,2.5,16.0,3.0,1642.0,20.0
CIN,2009122701,True,21.5,4.0,5.5,2.5,36.0,1.0,2024.0,17.0
CLE,2009122702,True,26.875,7.0,0.0,2.0,45.0,2.0,1822.0,23.0
GB,2009122703,True,29.42857142857143,8.0,3.0,3.0,30.0,1.0,1934.0,48.0
ARI,2009122710,True,22.875,9.0,6.0,3.0,29.0,2.0,2044.0,31.0
SF,2009122711,True,30.875,7.0,2.0,1.0,29.0,1.0,1838.0,20.0
PHI,2009122708,True,28.16666666666667,8.0,0.0,2.5,28.0,4.0,1843.0,30.0
IND,2009122712,True,22.818181818181813,7.0,1.0,0.5,24.0,2.0,1614.0,15.0
WAS,2009122713,True,18.42857142857143,3.0,3.0,2.0,18.0,3.0,1498.0,0.0
CHI,2009122800,True,35.91666666666667,7.0,2.0,3.0,27.0,2.0,1754.0,36.0
BUF,2010010300,True,28.66666666666667,8.0,3.0,4.0,39.0,0.0,,30.0
CAR,2010010301,True,24.0,6.0,3.0,2.0,36.0,2.0,1825.0,23.0
TB,2010010310,True,32.75,3.0,0.0,1.5,22.0,1.0,1471.0,10.0
STL,2010010309,True,30.5,3.0,0.0,2.5,26.0,8.0,1596.0,6.0
MIN,2010010307,True,29.77777777777777,10.0,7.0,3.0,29.0,0.0,2212.0,44.0
MIA,2010010306,True,26.77777777777777,6.0,6.0,3.0,25.0,3.0,1671.0,24.0
HOU,2010010305,True,28.444444444444443,10.0,8.5,4.0,26.0,1.0,1894.0,34.0
DET,2010010304,True,33.66666666666667,9.0,7.0,4.0,24.0,2.0,1847.0,23.0
CLE,2010010302,True,34.14285714285714,6.0,5.0,3.0,49.0,0.0,1978.0,23.0
DEN,2010010312,True,21.58333333333333,13.0,3.0,2.0,22.0,2.0,1983.0,24.0
ARI,2010010311,True,18.5,3.0,2.0,2.0,14.0,0.0,1353.0,7.0
SD,2010010314,True,29.099999999999994,5.0,4.0,2.0,17.0,1.0,1647.0,23.0
OAK,2010010313,True,23.599999999999994,8.0,4.0,2.0,20.0,3.0,1935.0,13.0
DAL,2010010303,True,24.125,8.0,5.5,3.0,29.0,2.0,2423.0,24.0
SEA,2010010315,True,26.375,8.0,0.0,5.0,25.0,3.0,1658.0,13.0
NYJ,2010010308,True,33.25,3.0,1.5,3.0,54.0,0.0,2474.0,37.0
NO,2010090900,True,24.700000000000003,4.0,2.0,4.5,22.0,1.0,2014.0,14.0
TB,2010091200,True,24.888888888888886,7.0,0.0,2.0,30.0,3.0,1923.0,17.0
PIT,2010091209,True,19.900000000000006,8.0,4.0,3.0,31.0,3.0,1915.0,15.0
CHI,2010091207,True,37.36363636363637,9.0,4.5,2.5,30.0,4.0,2061.0,19.0
NYG,2010091206,True,33.375,9.0,7.0,2.0,33.0,1.0,2081.0,31.0
TEN,2010091205,True,25.625,7.0,3.0,3.0,35.0,2.0,1864.0,38.0
JAC,2010091204,True,30.875,7.0,4.5,4.0,31.0,1.0,1770.0,24.0
BUF,2010091201,True,28.0,3.0,0.0,2.0,17.0,3.0,1379.0,10.0
NE,2010091202,True,39.75,5.0,5.0,5.0,23.0,0.0,1690.0,37.0
HOU,2010091203,True,35.22222222222223,7.0,0.0,6.0,39.0,2.0,1853.0,34.0
PHI,2010091210,True,27.555555555555557,7.0,1.0,5.0,21.0,5.0,1685.0,20.0
STL,2010091208,True,28.700000000000003,4.0,1.0,2.0,24.0,2.0,1966.0,13.0
SEA,2010091211,True,29.444444444444443,4.0,5.0,2.0,23.0,1.0,1635.0,30.0
WAS,2010091212,True,20.75,5.0,0.0,3.0,23.0,1.0,1557.0,12.0
NYJ,2010091300,True,33.111111111111114,3.0,0.0,3.5,20.0,2.0,1288.0,9.0
KC,2010091301,True,32.0,1.0,0.0,3.0,25.0,1.0,1352.0,20.0
GB,2010091901,True,32.14285714285714,6.0,7.0,3.0,25.0,0.0,1856.0,34.0
CIN,2010091912,True,24.200000000000003,3.0,0.0,3.0,29.0,1.0,2056.0,15.0
CAR,2010091908,True,22.909090909090907,7.0,0.0,2.0,33.0,4.0,1751.0,7.0
ATL,2010091907,True,24.14285714285714,7.0,6.0,4.0,42.0,1.0,2353.0,41.0
DET,2010091906,True,27.0,13.0,1.5,2.0,25.0,2.0,1721.0,32.0
DAL,2010091905,True,23.36363636363636,10.0,5.0,2.0,19.0,0.0,2020.0,19.0
TEN,2010091904,True,29.92307692307692,5.0,2.5,0.5,22.0,4.0,1578.0,11.0
MIN,2010091902,True,20.75,9.0,3.0,2.0,33.0,3.0,2142.0,10.0
CLE,2010091903,True,23.454545454545453,3.0,0.0,3.0,26.0,1.0,1607.0,14.0
OAK,2010091910,True,31.900000000000006,7.0,2.0,4.0,37.0,2.0,2209.0,18.0
DEN,2010091909,True,34.5,6.0,5.5,2.0,35.0,1.0,2247.0,31.0
NYJ,2010091911,True,26.5,5.0,4.0,3.0,31.0,3.0,1952.0,28.0
SD,2010091913,True,18.75,9.0,8.0,3.0,30.0,1.0,1776.0,38.0
WAS,2010091900,True,24.625,8.0,7.0,2.0,17.0,3.0,1907.0,27.0
IND,2010091914,True,25.33333333333333,5.0,8.0,3.0,40.0,1.0,2106.0,37.0
SF,2010092000,True,22.0,5.0,6.0,4.0,26.0,0.0,1640.0,22.0
NYG,2010092600,True,22.727272727272734,11.0,6.0,4.0,20.0,2.0,1898.0,10.0
CAR,2010092601,True,15.5,5.0,0.0,1.0,24.0,1.0,1418.0,7.0
TB,2010092602,True,22.75,3.0,4.0,2.5,20.0,4.0,1986.0,13.0
